The following slacks have been normalized to be non-negative by relaxing the required times to the maximum arrival time.

Largest slack in design: -2.04127e-10
Smallest slack in design: -5.03863e-09
Total slack in design: -1.03085e-05
Total negative slack: 1.03085e-05


Range		-5.0e-09 to -4.1e-09	-4.1e-09 to -3.1e-09	-3.1e-09 to -2.1e-09	-2.1e-09 to -1.2e-09	-1.2e-09 to -2.0e-10	Not analysed
Slacks in range		813			427			807			1458			791			174

Net #	Driver_tnode	to_node	Slack

    0	24380		    0	-2.82479e-09
			  740	-2.01784e-09
			 3379	-2.24032e-09
    1	15097		    1	-1.99295e-09
			  379	-1.99295e-09
			  747	-2.10137e-09
			 1443	-1.85742e-09
			 2661	-2.19242e-09
			 3744	-1.85742e-09
			 5301	-2.10479e-09
			 9535	-1.60826e-09
			10204	-1.99184e-09
			15768	-2.87571e-09
    2	 5333		    2	-4.66137e-09
			  725	-4.52242e-09
    3	 4950		    3	-2.73966e-09
			  372	-2.06824e-09
			  739	-2.51166e-09
			 1091	-2.62032e-09
			 2648	-2.40324e-09
			 4104	-3.14424e-09
			 4523	-2.12848e-09
			 7805	-1.76748e-09
			 9534	-2.20266e-09
			15413	-2.78272e-09
			15750	-2.16071e-09
			48211	-2.12848e-09
			49493	-1.8759e-09
			55673	-1.8759e-09
    4	39306		    4	-1.78956e-09
			38930	-1.6739e-09
    5	 5327		    5	-4.29784e-09
    6	49498		    6	-2.06114e-09
			  376	-2.51408e-09
			  731	-2.26603e-09
			 1446	-2.7199e-09
			 2650	-2.53166e-09
			 3749	-2.51408e-09
			 4543	-2.64351e-09
			 5315	-3.20559e-09
			 7793	-2.43769e-09
			 9539	-2.52917e-09
			10232	-2.64461e-09
			15060	-2.69732e-09
			15421	-2.55424e-09
			48223	-3.25837e-09
			55672	-3.01093e-09
    7	 4949		    7	-5.03863e-09
			  377	-4.23279e-09
			  745	-4.67621e-09
    8	49496		    8	-2.1059e-09
			  380	-2.1059e-09
			  719	-1.96695e-09
			 2634	-2.4409e-09
			 3746	-2.1059e-09
			 4521	-2.19242e-09
			 5293	-2.3339e-09
			 9544	-2.30537e-09
			10211	-1.97037e-09
			15077	-1.97037e-09
			15431	-1.93984e-09
    9	 4118		    9	-1.60342e-09
			  398	-1.26842e-09
			  734	-1.46789e-09
			 1450	-1.60342e-09
			 2646	-1.13289e-09
			 3755	-1.60342e-09
			 4530	-1.96553e-09
			 9552	-2.43495e-09
			15080	-2.17866e-09
			15415	-2.165e-09
			15772	-1.93271e-09
   10	 3413		   10	-3.93724e-09
			  390	-3.77571e-09
			  742	-3.47742e-09
			 1094	-3.81837e-09
			 3750	-3.95732e-09
			 4107	-4.00137e-09
			 7808	-4.00026e-09
			16892	-3.44071e-09
   11	 7824		   11	-2.46579e-09
			  388	-2.48726e-09
			  736	-2.77621e-09
			 1454	-2.32684e-09
			 3753	-2.04113e-09
			 4937	-1.63084e-09
			10198	-2.35537e-09
			15429	-1.96584e-09
			15753	-2.76908e-09
			48213	-1.85631e-09
   12	 1474		   12	-4.34642e-09
			  389	-4.34642e-09
			  741	-4.76979e-09
   13	 4125		   13	-2.35324e-09
			  391	-2.35324e-09
			 1082	-2.21432e-09
			 2663	-2.46166e-09
			 4524	-1.26842e-09
			 4921	-2.75471e-09
